# Logfile created on 2026-09-09 20:59:12 +0200 by logger.rb/v1.5.3
2026-09-09 20:59:12 +0200: Memory Usage (457140K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/AION_a21oi_nor2_1.gds
2026-09-09 20:59:12 +0200: Memory Usage (457140K) : Ruby Version for klayout: 3.2.3
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : Loading database to memory is complete.
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_chip/flow/regress/AION_a21oi_nor2_1/drc/AION_a21oi_nor2_1.klayout.drc/AION_a21oi_nor2_1_AION_a21oi_nor2_1_forbidden.lyrdb
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : Evaluate switches.
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : tables selected: forbidden
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : deep mode is enabled.
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : FEOL enabled: false
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : BEOL enabled: false
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : OFFGRID enabled: true
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : ANGLE enabled: true
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : PIN enabled: false
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : FORBIDDEN enabled: false
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : RECOMMENDED enabled: true
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : PreCheck DRC enabled: false
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : CONNECTIVITY_RULES enabled: false.
2026-09-09 20:59:12 +0200: Memory Usage (458100K) : Read in polygons from layers.
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : activ_drw has 5 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : activ_pin has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : activ_mask has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : activ_filler has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : activ_nofill has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : activ_opc has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : activ_iopc has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : activ_noqrc has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : biwind_drw has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : biwind_opc has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : pemwind_drw has 0 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : gatpoly_drw has 10 polygons
2026-09-09 20:59:12 +0200: Memory Usage (459056K) : gatpoly_pin has 0 polygons
